Time, x, y, z
232.5499244,0.919,-9.04,-0.459
232.5656314,0.919,-9.04,-0.459
232.5823744,0.919,-9.04,-0.459
232.6112414,0.919,-9.04,-0.459
232.6396573,0.919,-9.04,-0.459
232.6679903,0.919,-9.04,-0.459
232.6922434,0.919,-9.04,-0.459
232.7196534,0.919,-9.04,-0.459
232.7504783,0.919,-9.04,-0.459
232.7747243,0.919,-9.04,-0.459
233.0189574,0.919,-9.04,-0.459
233.0372544,-2.911,-3.524,0.306
233.0595084,-2.911,-3.524,0.306
233.0868023,-2.911,-3.524,0.306
233.1146474,-2.911,-3.524,0.306
233.1408594,-2.911,-3.524,0.306
233.1611143,-2.911,-3.524,0.306
233.1722403,-2.911,-3.524,0.306
233.1926923,-2.911,-3.524,0.306
233.2206524,-2.911,-3.524,0.306
233.2479523,-2.911,-3.524,0.306
233.2814973,-2.911,-3.524,0.306
233.3377264,-2.911,-3.524,0.306
233.3653794,-1.072,-7.968,-1.225
233.3908854,-1.072,-7.968,-1.225
233.4011663,-1.072,-7.968,-1.225
233.4134343,-1.072,-7.968,-1.225
233.4419094,-1.072,-7.968,-1.225
233.4689694,-1.072,-7.968,-1.225
233.4936603,-1.072,-7.968,-1.225
233.8074594,-1.072,-7.968,-1.225
233.8262494,-1.072,-7.968,-1.225
233.8583713,1.685,-10.726,-0.306
233.8810235,1.685,-10.726,-0.306
233.9047063,1.685,-10.726,-0.306
233.9320813,1.685,-10.726,-0.306
233.9612585,1.685,-10.726,-0.306
233.9866725,1.685,-10.726,-0.306
234.0129374,1.685,-10.726,-0.306
234.0536655,1.685,-10.726,-0.306
234.0756064,1.685,-10.726,-0.306
234.0909253,1.685,-10.726,-0.306
234.1185933,1.685,-10.726,-0.306
234.1542984,1.685,-10.726,-0.306
234.1784514,1.685,-10.726,-0.306
234.2058783,1.685,-10.726,-0.306
234.2306815,1.685,-10.726,-0.306
234.2579883,1.685,-10.726,-0.306
234.2881194,1.685,-10.726,-0.306
234.6287733,1.685,-10.726,-0.306
234.6445993,4.29,-13.024,0.153
234.6810234,4.29,-13.024,0.153
234.7063284,4.29,-13.024,0.153
234.7429264,4.29,-13.024,0.153
234.7754133,4.29,-13.024,0.153
234.8171473,4.29,-13.024,0.153
234.8464385,4.29,-13.024,0.153
234.9146293,-1.838,-15.323,3.984
234.9381564,-1.838,-15.323,3.984
234.9811893,-1.838,-15.323,3.984
235.0305904,-1.838,-15.323,3.984
235.0555385,-1.838,-15.323,3.984
235.1798242,-1.838,-15.323,3.984
235.3111593,-1.838,-15.323,3.984
235.3429915,-1.838,-15.323,3.984
235.3872453,-7.202,-15.783,3.524
235.4195525,-7.202,-15.783,3.524
235.4633473,-7.202,-15.783,3.524
235.5211011,-7.202,-15.783,3.524
235.5570091,-7.202,-15.783,3.524
235.5904612,-7.202,-15.783,3.524
235.6211163,-7.202,-15.783,3.524
235.6568562,-7.202,-15.783,3.524
235.7056781,-7.202,-15.783,3.524
235.7475702,-7.202,-15.783,3.524
235.8082372,-7.202,-15.783,3.524
235.8612653,-7.202,-15.783,3.524
235.9007935,1.685,-13.331,0
235.9278504,1.685,-13.331,0
235.9647934,1.685,-13.331,0
235.9996175,1.685,-13.331,0
236.0303194,1.685,-13.331,0
236.0631703,1.685,-13.331,0
236.1073445,1.685,-13.331,0
236.1464314,1.685,-13.331,0
236.2063975,1.685,-13.331,0
236.2435045,1.685,-13.331,0
236.2983536,1.685,-13.331,0
236.3437695,1.685,-13.331,0
236.3889546,1.685,-13.331,0
236.4399805,3.064,-12.411,-11.492
236.4987444,3.064,-12.411,-11.492
236.5513856,3.064,-12.411,-11.492
236.5904295,3.064,-12.411,-11.492
236.6659266,3.064,-12.411,-11.492
236.6860365,3.064,-12.411,-11.492
236.7538776,3.064,-12.411,-11.492
236.7807576,3.064,-12.411,-11.492
236.8096885,3.064,-12.411,-11.492
236.8370976,3.064,-12.411,-11.492
236.8617875,3.064,-12.411,-11.492
236.8776116,3.064,-12.411,-11.492
236.9028325,0.919,-11.186,-0.766
236.9277055,0.919,-11.186,-0.766
236.9525775,0.919,-11.186,-0.766
236.9865376,0.919,-11.186,-0.766
237.0114426,0.919,-11.186,-0.766
237.0386476,0.919,-11.186,-0.766
237.0698316,0.919,-11.186,-0.766
237.0980815,0.919,-11.186,-0.766
237.1267466,0.919,-11.186,-0.766
237.1676316,0.919,-11.186,-0.766
237.1997225,0.919,-11.186,-0.766
237.4436735,-2.911,-3.984,-0.459
237.4544026,-2.911,-3.984,-0.459
237.4653436,-2.911,-3.984,-0.459
237.4771826,-2.911,-3.984,-0.459
237.4891316,-2.911,-3.984,-0.459
237.5002336,-2.911,-3.984,-0.459
237.5126607,-2.911,-3.984,-0.459
237.5265135,-2.911,-3.984,-0.459
237.5373625,-2.911,-3.984,-0.459
237.5479557,-2.911,-3.984,-0.459
237.5594506,-2.911,-3.984,-0.459
237.5709435,-2.911,-3.984,-0.459
237.5829646,-2.911,-3.984,-0.459
237.5936086,-2.911,-3.984,-0.459
237.6044266,-2.911,-3.984,-0.459
237.6153926,-2.911,-3.984,-0.459
237.6299307,-2.911,-3.984,-0.459
237.6465356,-2.911,-3.984,-0.459
237.6569626,-2.911,-3.984,-0.459
237.6704137,-2.911,-3.984,-0.459
237.6809947,-2.911,-3.984,-0.459
237.6922886,-2.911,-3.984,-0.459
237.7037765,-2.911,-3.984,-0.459
237.7148785,-2.911,-3.984,-0.459
237.7271187,-2.911,-3.984,-0.459
237.7392825,-2.911,-3.984,-0.459
237.7510356,-2.911,-3.984,-0.459
237.7725155,-2.911,-3.984,-0.459
237.7834665,-2.911,-3.984,-0.459
237.7957355,-2.911,-3.984,-0.459
237.8065867,-2.911,-3.984,-0.459
237.8176946,-2.911,-3.984,-0.459
237.8321006,-2.911,-3.984,-0.459
