Time, x, y, z,,,,,,,,,
52.16730147,3.212677,-10.733246,-2.7059784,,,,,,,,,
52.17392355,2.7366028,-10.76181,-2.6607513,,,,,,,,,
52.18012362,2.1391296,-10.88797,-2.684555,,,,,,,,,
52.18670565,1.8439636,-10.926056,-2.9654388,,,,,,,,,
52.19333845,1.9010925,-10.923676,-3.479599,,,,,,,,,
52.1991325,2.610443,-10.892731,-4.6055145,,,,,,,,,
52.20400244,2.365265,-10.8594055,-5.1958466,,,,,,,,,
52.20890456,2.5485535,-10.833221,-5.9599457,,,,,,,,,
52.2137776,2.8246765,-10.95224,-6.6335907,,,,,,,,,
52.21973163,3.2912292,-11.202179,-6.783554,,,,,,,,,
52.22561556,3.6720886,-11.713959,-6.0170746,,,,,,,,,
52.23167759,4.188629,-12.323334,-4.9268646,,,,,,,,,
52.23738152,4.8075256,-13.00412,-4.0984955,,,,,,,,,
52.24310046,5.09079,-13.418304,-3.441513,,,,,,,,,
52.24879247,5.3002625,-13.2326355,-3.274887,,,,,,,,,
52.25444346,4.5623474,-12.794647,-3.9628143,,,,,,,,,
52.26014143,3.988678,-12.266205,-4.6697845,,,,,,,,,
52.26576549,3.3840637,-11.430695,-4.981613,,,,,,,,,
52.2715016,2.7270813,-10.554718,-5.307724,,,,,,,,,
52.27712255,2.160553,-9.4930725,-5.295822,,,,,,,,,
52.28296453,1.7059021,-9.385956,-5.47435,,,,,,,,,
52.28855544,0.67996216,-10.142914,-3.717636,,,,,,,,,
52.29416448,1.0513,-11.068878,-2.370346,,,,,,,,,
52.30248958,1.2226868,-12.04007,-0.875473,,,,,,,,,
52.30820852,1.0417786,-13.318329,2.2047272,,,,,,,,,
52.31380945,0.8727722,-13.715851,3.1759186,,,,,,,,,
52.31950742,0.5371399,-14.191925,3.492508,,,,,,,,,
52.32515365,-0.2698059,-14.54184,3.9828644,,,,,,,,,
52.33115655,-0.60305786,-14.727509,4.3946686,,,,,,,,,
52.33640343,-0.9553528,-15.032196,4.608902,,,,,,,,,
52.3451615,-1.7337341,-15.5035095,4.5470123,,,,,,,,,
52.35342461,-2.8953552,-16.14383,3.2568512,,,,,,,,,
52.36212855,-2.2002869,-15.158356,0.40992737,,,,,,,,,
52.37027555,-1.1195984,-13.237396,-3.4938812,,,,,,,,,
52.3755396,-0.4197693,-12.439972,-5.7647552,,,,,,,,,
52.38626653,1.1465149,-10.554718,-6.2741547,,,,,,,,,
52.39163643,1.5178528,-10.085785,-4.6816864,,,,,,,,,
52.39670759,2.4414368,-9.759674,-3.460556,,,,,,,,,
52.40195447,3.7101746,-9.28598,-2.022812,,,,,,,,,
52.4081276,5.116974,-8.990814,-0.6612396,,,,,,,,,
52.41349464,5.676361,-9.136017,-0.8254852,,,,,,,,,
52.41861754,6.078644,-8.77182,-0.5565033,,,,,,,,,
52.42367655,5.688263,-8.817047,-0.6707611,,,,,,,,,
52.4288066,5.328827,-8.70993,-0.6469574,,,,,,,,,
52.43379551,4.905121,-8.538544,-0.6302948,,,,,,,,,
52.43892056,4.298126,-8.424286,-0.66838074,,,,,,,,,
52.44391447,3.5935364,-8.362396,-0.9944916,,,,,,,,,
52.44891649,2.9841614,-8.3576355,-1.2801361,,,,,,,,,
52.45391947,2.1296082,-8.281464,-1.1230316,,,,,,,,,
52.45894152,1.2060242,-8.014862,-0.7040863,,,,,,,,,
52.46395164,0.58236694,-7.6387634,-0.2756195,,,,,,,,,
52.46898752,0.2800598,-7.200775,-0.13755798,,,,,,,,,
52.64956647,-1.2076721,-7.091278,-7.495285,,,,,,,,,
52.65458256,-1.302887,-7.5863953,-7.7737885,,,,,,,,,
52.66052562,-0.78396606,-8.110077,-7.9999237,,,,,,,,,
52.67056662,0.35147095,-9.535919,-8.825912,,,,,,,,,
52.68394261,1.5059509,-11.299774,-9.723312,,,,,,,,,
52.69724446,2.5366516,-13.073151,-11.4109955,,,,,,,,,
52.71018344,2.5104675,-14.075287,-13.186752,,,,,,,,,
52.72239858,1.9582214,-11.768707,-15.03154,,,,,,,,,
52.72802764,1.6749573,-10.845123,-14.529282,,,,,,,,,
52.73358756,1.7892151,-8.745636,-11.577621,,,,,,,,,
52.74050361,1.5035706,-7.893463,-9.747116,,,,,,,,,
52.74529844,0.6347351,-7.3055115,-8.0499115,,,,,,,,,
52.75008851,0.013458252,-6.615204,-6.802597,,,,,,,,,
52.7547825,-1.0505676,-6.1891174,-5.364853,,,,,,,,,
52.75969249,-1.8194275,-6.091522,-4.7792816,,,,,,,,,
52.76448256,-1.1386414,-5.793976,-5.9956512,,,,,,,,,
52.76965362,-1.5647278,-7.9458313,-6.590744,,,,,,,,,
52.77457458,-2.585907,-10.899872,-7.7547455,,,,,,,,,
52.78838759,-2.1717224,-19.35971,-4.538864,,,,,,,,,
52.79326755,-0.7554016,-19.35971,-2.9416351,,,,,,,,,
52.7981146,0.0920105,-19.35971,-0.6802826,,,,,,,,,
52.80297047,1.7701721,-19.35971,2.5141754,,,,,,,,,
52.80777961,2.6175842,-17.650604,4.7422028,,,,,,,,,
52.81355649,4.1124573,-14.082428,6.2870636,,,,,,,,,
52.81967765,4.5837708,-10.511871,7.3011017,,,,,,,,,
52.82542854,3.4768982,-7.7434998,7.5891266,,,,,,,,,
52.83123547,2.891327,-5.1131897,6.7750397,,,,,,,,,
