Time, x, y, z,,,,,,
6.989040852,-2.2050476,-9.450226,-0.53507996,,,,,,
6.992682934,-2.188385,-9.395477,-0.56126404,,,,,,
6.996637821,-2.181244,-9.440704,-0.40653992,,,,,,
7.002768993,-2.181244,-9.440704,-0.40653992,,,,,,
7.007000923,-2.233612,-9.355011,-0.57792664,,,,,,
7.010873795,-2.2478943,-9.450226,-0.5374603,,,,,,
7.014833927,-2.2478943,-9.450226,-0.5374603,,,,,,
7.019212008,-2.2407532,-9.395477,-0.51841736,,,,,,
7.022917986,-2.2169495,-9.352631,-0.49699402,,,,,,
7.026772976,-2.162201,-9.371674,-0.5374603,,,,,,
7.03170681,-2.1788635,-9.390717,-0.54460144,,,,,,
7.036417007,-2.188385,-9.4097595,-0.50175476,,,,,,
7.041414976,-2.1645813,-9.431183,-0.580307,,,,,,
7.045433998,-2.1645813,-9.431183,-0.580307,,,,,,
7.048950911,-2.1574402,-9.447845,-0.5207977,,,,,,
7.052659988,-2.1455383,-9.41214,-0.5303192,,,,,,
7.057035923,-2.124115,-9.440704,-0.516037,,,,,,
7.060939789,-2.059845,-9.41452,-0.4993744,,,,,,
7.071467876,-2.059845,-9.41452,-0.4993744,,,,,,
7.077493906,-2.1074524,-9.462128,-0.4398651,,,,,,
7.084589958,-2.1360168,-9.421661,-0.46842957,,,,,,
7.089037895,-2.2026672,-9.433563,-0.5255585,,,,,,
7.093423843,-2.181244,-9.41452,-0.44462585,,,,,,
7.098678827,-2.2217102,-9.400238,-0.46366882,,,,,,
7.104190826,-2.245514,-9.416901,-0.45414734,,,,,,
7.108749866,-2.2383728,-9.34787,-0.51127625,,,,,,
7.113767862,-2.3002625,-9.364532,-0.49461365,,,,,,
7.118707895,-2.3193054,-9.407379,-0.46366882,,,,,,
7.123430967,-2.3193054,-9.357391,-0.47795105,,,,,,
7.128161907,-2.3502502,-9.378815,-0.41130066,,,,,,
7.132779837,-2.3454895,-9.366913,-0.3993988,,,,,,
7.136955976,-2.3240662,-9.395477,-0.34703064,,,,,,
7.141508818,-2.316925,-9.376434,-0.4089203,,,,,,
7.146704912,-2.297882,-9.400238,-0.38987732,,,,,,
7.151484966,-2.328827,-9.34787,-0.31608582,,,,,,
7.156172991,-2.3407288,-9.374054,-0.29466248,,,,,,
7.160839796,-2.3407288,-9.374054,-0.29466248,,,,,,
7.16600585,-2.3121643,-9.359772,-0.36369324,,,,,,
7.170812845,-2.3216858,-9.388336,-0.38987732,,,,,,
7.17590189,-2.3216858,-9.388336,-0.38987732,,,,,,
7.180719852,-2.2550354,-9.374054,-0.41844177,,,,,,
7.185065985,-2.2550354,-9.374054,-0.41844177,,,,,,
7.189805985,-2.226471,-9.421661,-0.4398651,,,,,,
7.194191933,-2.2359924,-9.397858,-0.4089203,,,,,,
7.198807001,-2.233612,-9.421661,-0.46366882,,,,,,
7.203768015,-2.2740784,-9.435944,-0.5088959,,,,,,
7.208382845,-2.2383728,-9.462128,-0.40415955,,,,,,
7.212743998,-2.2669373,-9.450226,-0.37797546,,,,,,
7.217041969,-2.2883606,-9.383575,-0.46366882,,,,,,
7.221660852,-2.2693176,-9.407379,-0.4993744,,,,,,
7.225977898,-2.2693176,-9.407379,-0.4993744,,,,,,
7.230578899,-2.2288513,-9.364532,-0.43748474,,,,,,
7.236016989,-2.2478943,-9.381195,-0.49699402,,,,,,
7.240309954,-2.188385,-9.369293,-0.51127625,,,,,,
7.24502182,-2.188385,-9.369293,-0.51127625,,,,,,
