Time, x, y, z,,,,,,,,,,,,,,,,,,,,,
12.39879931,1.225,9.807,-1.992,,,,,,,,,,,,,,,,,,,,,
12.42277134,1.225,9.807,-1.992,,,,,,,,,,,,,,,,,,,,,
12.4518832,1.225,9.807,-1.992,,,,,,,,,,,,,,,,,,,,,
12.47393525,1.225,9.807,-1.992,,,,,,,,,,,,,,,,,,,,,
12.4956373,1.225,9.807,-1.992,,,,,,,,,,,,,,,,,,,,,
12.52294219,1.225,9.807,-1.992,,,,,,,,,,,,,,,,,,,,,
12.55035413,0.766,9.347,-2.145,,,,,,,,,,,,,,,,,,,,,
12.5792712,0.766,9.347,-2.145,,,,,,,,,,,,,,,,,,,,,
12.59887922,0.766,9.347,-2.145,,,,,,,,,,,,,,,,,,,,,
12.63119114,0.766,9.347,-2.145,,,,,,,,,,,,,,,,,,,,,
12.66201914,0.766,9.347,-2.145,,,,,,,,,,,,,,,,,,,,,
12.68340433,0.766,9.347,-2.145,,,,,,,,,,,,,,,,,,,,,
12.70400012,0.766,9.347,-2.145,,,,,,,,,,,,,,,,,,,,,
12.72808135,0.766,9.347,-2.145,,,,,,,,,,,,,,,,,,,,,
12.75255931,0.766,9.347,-2.145,,,,,,,,,,,,,,,,,,,,,
12.77611125,0.766,9.347,-2.145,,,,,,,,,,,,,,,,,,,,,
13.0517732,0.766,9.347,-2.145,,,,,,,,,,,,,,,,,,,,,
13.07698025,0.919,9.653,0,,,,,,,,,,,,,,,,,,,,,
13.10913123,0.919,9.653,0,,,,,,,,,,,,,,,,,,,,,
13.13680734,0.919,9.653,0,,,,,,,,,,,,,,,,,,,,,
13.1596383,0.919,9.653,0,,,,,,,,,,,,,,,,,,,,,
13.18213524,0.919,9.653,0,,,,,,,,,,,,,,,,,,,,,
13.20774616,0.919,9.653,0,,,,,,,,,,,,,,,,,,,,,
13.24366225,0.919,9.653,0,,,,,,,,,,,,,,,,,,,,,
13.26925315,0.919,9.653,0,,,,,,,,,,,,,,,,,,,,,
13.30183424,0.919,9.653,0,,,,,,,,,,,,,,,,,,,,,
13.33794726,0.919,9.653,0,,,,,,,,,,,,,,,,,,,,,
13.35160626,0.919,9.653,0,,,,,,,,,,,,,,,,,,,,,
13.36228312,0.919,9.653,0,,,,,,,,,,,,,,,,,,,,,
13.39321126,0.919,9.653,0,,,,,,,,,,,,,,,,,,,,,
