time,deviceID,height,location,ax,ay,az,gx,gy,gz,mx,my,mz
1470430111137554893,1749368951,,,-0.00616455078125,9.8582763671875,-0.0910491943359375,-0.0661163330078125,-0.03631591796875,-0.022186279296875,-13.45062255859375,-48.94561767578125,20.57037353515625,
1470430111142590293,1749368951,,,0.004852294921875,9.889068603515625,-0.133453369140625,-0.0738983154296875,-0.040618896484375,-0.0224456787109375,-13.45062255859375,-48.94561767578125,20.57037353515625,
1470430111147625694,1749368951,,,-0.004669189453125,9.882247924804688,-0.206573486328125,-0.08154296875,-0.0461273193359375,-0.0213775634765625,-13.3453369140625,-48.99749755859375,20.36590576171875,
1470430111152661094,1749368951,,,-0.016815185546875,9.837966918945313,-0.2032470703125,-0.0912933349609375,-0.05303955078125,-0.0199432373046875,-13.3453369140625,-48.99749755859375,20.36590576171875,
1470430111157696495,1749368951,,,-0.03955078125,9.8192138671875,-0.171875,-0.1019134521484375,-0.0594024658203125,-0.0174407958984375,-13.3453369140625,-48.99749755859375,20.36590576171875,
1470430111162731895,1749368951,,,0.015869140625,9.809982299804688,-0.1444854736328125,-0.1145782470703125,-0.0644378662109375,-0.0144805908203125,-13.3453369140625,-48.99749755859375,20.36590576171875,
1470430111167767295,1749368951,,,0.0611419677734375,9.823074340820313,-0.1272735595703125,-0.1285858154296875,-0.0652313232421875,-0.012786865234375,-14.3218994140625,-48.01177978515625,21.58966064453125,
1470430111172802696,1749368951,,,0.073516845703125,9.85430908203125,-5.4931640625E-4,-0.1412200927734375,-0.063232421875,-0.012176513671875,-14.3218994140625,-48.01177978515625,21.58966064453125,
1470430111177838096,1749368951,,,0.0933837890625,9.882308959960938,0.0972137451171875,-0.1482086181640625,-0.0604705810546875,-0.0131072998046875,-14.3218994140625,-48.01177978515625,21.58966064453125,
1470430111182873497,1749368951,,,0.0428009033203125,9.881851196289063,0.09576416015625,-0.148956298828125,-0.058380126953125,-0.01519775390625,-14.3218994140625,-48.01177978515625,21.58966064453125,
1470430111187908897,1749368951,,,-0.0215911865234375,9.865280151367188,0.16046142578125,-0.1470184326171875,-0.0575714111328125,-0.0146942138671875,-13.21868896484375,-48.272705078125,21.65985107421875,
1470430111192944297,1749368951,,,-0.0484619140625,9.85955810546875,0.190216064453125,-0.1441497802734375,-0.057708740234375,-0.01068115234375,-13.21868896484375,-48.272705078125,21.65985107421875,
1470430111197979698,1749368951,,,-0.0122222900390625,9.859237670898438,0.2358856201171875,-0.141998291015625,-0.05462646484375,-0.0054473876953125,-13.21868896484375,-48.272705078125,21.65985107421875,
1470430111203015098,1749368951,,,0.0311126708984375,9.8707275390625,0.3036346435546875,-0.13934326171875,-0.0487518310546875,0.0010528564453125,-13.21868896484375,-48.272705078125,21.65985107421875,
1470430111208050499,1749368951,,,0.0469818115234375,9.859100341796875,0.3463897705078125,-0.134033203125,-0.0412445068359375,0.0048828125,-13.018798828125,-48.33984375,21.636962890625,
1470430111213085899,1749368951,,,0.0471343994140625,9.885101318359375,0.37896728515625,-0.1262664794921875,-0.033416748046875,0.0079498291015625,-13.018798828125,-48.33984375,21.636962890625,
1470430111218121299,1749368951,,,0.0247802734375,9.895278930664063,0.3863067626953125,-0.11676025390625,-0.0249786376953125,0.01123046875,-13.018798828125,-48.33984375,21.636962890625,
1470430111223156700,1749368951,,,0.017730712890625,9.85760498046875,0.4093780517578125,-0.10662841796875,-0.014892578125,0.0134735107421875,-13.018798828125,-48.33984375,21.636962890625,
1470430111228192100,1749368951,,,0.0132293701171875,9.85137939453125,0.3937835693359375,-0.0969085693359375,-0.00518798828125,0.0150909423828125,-12.59002685546875,-47.03826904296875,20.9381103515625,
1470430111233227500,1749368951,,,0.0053558349609375,9.8358154296875,0.327880859375,-0.087249755859375,0.0039520263671875,0.0172882080078125,-12.59002685546875,-47.03826904296875,20.9381103515625,
1470430111238262901,1749368951,,,-0.0463714599609375,9.839126586914063,0.2693939208984375,-0.080352783203125,0.01141357421875,0.0210723876953125,-12.59002685546875,-47.03826904296875,20.9381103515625,
1470430111243298301,1749368951,,,-0.105926513671875,9.851638793945313,0.187744140625,-0.0746307373046875,0.0155029296875,0.026275634765625,-12.59002685546875,-47.03826904296875,20.9381103515625,
1470430111248333702,1749368951,,,-0.1273040771484375,9.88311767578125,0.1184539794921875,-0.070892333984375,0.015472412109375,0.033843994140625,-14.1204833984375,-48.17352294921875,22.11151123046875,
1470430111253369102,1749368951,,,-0.114410400390625,9.892776489257813,0.0065765380859375,-0.0715484619140625,0.00909423828125,0.04217529296875,-14.1204833984375,-48.17352294921875,22.11151123046875,
1470430111258404502,1749368951,,,-0.123291015625,9.900375366210938,-0.04486083984375,-0.0742950439453125,-0.00238037109375,0.0503082275390625,-14.1204833984375,-48.17352294921875,22.11151123046875,
1470430111263439903,1749368951,,,-0.1165008544921875,9.937469482421875,-0.0677337646484375,-0.0811920166015625,-0.01715087890625,0.058929443359375,-14.1204833984375,-48.17352294921875,22.11151123046875,
1470430111268475303,1749368951,,,-0.074981689453125,9.932113647460938,-0.0987091064453125,-0.0915069580078125,-0.0333099365234375,0.066314697265625,-14.3218994140625,-48.33984375,22.271728515625,
1470430111273510704,1749368951,,,-0.0468597412109375,9.910598754882813,-0.0863189697265625,-0.1018218994140625,-0.0493621826171875,0.074249267578125,-14.3218994140625,-48.33984375,22.271728515625,
1470430111278546104,1749368951,,,-0.0286407470703125,9.897201538085938,-0.0390625,-0.1138458251953125,-0.0655059814453125,0.08160400390625,-14.3218994140625,-48.33984375,22.271728515625,
1470430111283581504,1749368951,,,0.0169677734375,9.86944580078125,0.03717041015625,-0.1272125244140625,-0.0791473388671875,0.0858917236328125,-14.3218994140625,-48.33984375,22.271728515625,
1470430111288616905,1749368951,,,0.099700927734375,9.87841796875,0.0980224609375,-0.13818359375,-0.0903472900390625,0.0878143310546875,-14.910888671875,-48.0438232421875,21.1273193359375,
1470430111293652305,1749368951,,,0.136871337890625,9.902084350585938,0.195220947265625,-0.144561767578125,-0.09912109375,0.0869140625,-14.910888671875,-48.0438232421875,21.1273193359375,
1470430111298687706,1749368951,,,0.1561126708984375,9.88092041015625,0.2555389404296875,-0.1461944580078125,-0.1046600341796875,0.0847625732421875,-14.910888671875,-48.0438232421875,21.1273193359375,
1470430111303723106,1749368951,,,0.1733856201171875,9.849395751953125,0.29058837890625,-0.143707275390625,-0.107513427734375,0.08209228515625,-14.910888671875,-48.0438232421875,21.1273193359375,
1470430111308758506,1749368951,,,0.23388671875,9.853042602539063,0.334991455078125,-0.1373748779296875,-0.1083984375,0.078155517578125,-14.08538818359375,-49.2095947265625,21.002197265625,
1470430111313793907,1749368951,,,0.26708984375,9.851577758789063,0.4046478271484375,-0.1275482177734375,-0.107025146484375,0.0716552734375,-14.08538818359375,-49.2095947265625,21.002197265625,
1470430111318829307,1749368951,,,0.291961669921875,9.842559814453125,0.379425048828125,-0.117462158203125,-0.1027679443359375,0.0626983642578125,-14.08538818359375,-49.2095947265625,21.002197265625,
1470430111323864707,1749368951,,,0.3169403076171875,9.8345947265625,0.3887786865234375,-0.1077728271484375,-0.09808349609375,0.0537109375,-14.08538818359375,-49.2095947265625,21.002197265625,
1470430111328900108,1749368951,,,0.3273162841796875,9.852157592773438,0.44305419921875,-0.097381591796875,-0.096649169921875,0.04583740234375,-13.99688720703125,-49.32708740234375,21.002197265625,
1470430111333935508,1749368951,,,0.3281707763671875,9.865341186523438,0.47381591796875,-0.087127685546875,-0.096649169921875,0.0379791259765625,-13.99688720703125,-49.32708740234375,21.002197265625,
1470430111338970909,1749368951,,,0.3651275634765625,9.870254516601563,0.473846435546875,-0.075408935546875,-0.095245361328125,0.03057861328125,-13.99688720703125,-49.32708740234375,21.002197265625,
1470430111344006309,1749368951,,,0.372833251953125,9.866897583007813,0.4797515869140625,-0.06475830078125,-0.0923004150390625,0.0224761962890625,-13.99688720703125,-49.32708740234375,21.002197265625,
1470430111349041709,1749368951,,,0.339385986328125,9.836349487304688,0.47576904296875,-0.0535888671875,-0.0890655517578125,0.0146331787109375,-12.79144287109375,-48.10943603515625,21.29669189453125,
1470430111354077110,1749368951,,,0.322235107421875,9.81414794921875,0.468841552734375,-0.0440216064453125,-0.0843353271484375,0.00634765625,-12.79144287109375,-48.10943603515625,21.29669189453125,
1470430111359112510,1749368951,,,0.3457794189453125,9.842437744140625,0.39056396484375,-0.035400390625,-0.0766448974609375,-7.476806640625E-4,-12.79144287109375,-48.10943603515625,21.29669189453125,
1470430111364147911,1749368951,,,0.3156280517578125,9.868072509765625,0.3957366943359375,-0.027923583984375,-0.0699005126953125,-0.0076141357421875,-12.79144287109375,-48.10943603515625,21.29669189453125,
1470430111369183311,1749368951,,,0.2794342041015625,9.87255859375,0.4093170166015625,-0.023223876953125,-0.0625,-0.0168609619140625,-13.60626220703125,-49.2401123046875,20.42999267578125,
1470430111374218711,1749368951,,,0.263702392578125,9.901901245117188,0.3672943115234375,-0.019927978515625,-0.0540008544921875,-0.0267791748046875,-13.60626220703125,-49.2401123046875,20.42999267578125,
1470430111379254112,1749368951,,,0.217803955078125,9.926620483398438,0.338897705078125,-0.016693115234375,-0.0461883544921875,-0.0348663330078125,-13.60626220703125,-49.2401123046875,20.42999267578125,
1470430111384289512,1749368951,,,0.174713134765625,9.922378540039063,0.2369537353515625,-0.0142822265625,-0.038665771484375,-0.040771484375,-13.60626220703125,-49.2401123046875,20.42999267578125,
1470430111389324913,1749368951,,,0.1727294921875,9.91400146484375,0.3133087158203125,-0.012115478515625,-0.0335693359375,-0.0445404052734375,-13.67034912109375,-49.32708740234375,20.36590576171875,
1470430111394360313,1749368951,,,0.11346435546875,9.900375366210938,0.366546630859375,-0.0116119384765625,-0.0302734375,-0.047576904296875,-13.67034912109375,-49.32708740234375,20.36590576171875,
1470430111399395713,1749368951,,,0.09832763671875,9.859405517578125,0.372802734375,-0.01080322265625,-0.0261077880859375,-0.048492431640625,-13.67034912109375,-49.32708740234375,20.36590576171875,
1470430111404431114,1749368951,,,0.0634765625,9.849945068359375,0.3138275146484375,-0.00970458984375,-0.02001953125,-0.048492431640625,-13.67034912109375,-49.32708740234375,20.36590576171875,
1470430111409466514,1749368951,,,0.0763702392578125,9.85614013671875,0.3174591064453125,-0.006927490234375,-0.0152740478515625,-0.046783447265625,-14.599609375,-50.579833984375,20.36590576171875,
1470430111414501915,1749368951,,,0.0936126708984375,9.880569458007813,0.3375701904296875,-0.0062713623046875,-0.0126953125,-0.04290771484375,-14.599609375,-50.579833984375,20.36590576171875,
1470430111419537315,1749368951,,,0.1002655029296875,9.9305419921875,0.3567352294921875,-0.0036773681640625,-0.01226806640625,-0.0394744873046875,-14.599609375,-50.579833984375,20.36590576171875,
1470430111424572715,1749368951,,,0.0975341796875,9.904647827148438,0.373016357421875,9.918212890625E-4,-0.010650634765625,-0.0372467041015625,-14.599609375,-50.579833984375,20.36590576171875,
1470430111429608116,1749368951,,,0.0750732421875,9.89910888671875,0.477813720703125,0.0092315673828125,-0.008392333984375,-0.03411865234375,-12.30926513671875,-48.91204833984375,19.6075439453125,
1470430111434643516,1749368951,,,0.036407470703125,9.938217163085938,0.4769134521484375,0.0188446044921875,-0.0062255859375,-0.030853271484375,-12.30926513671875,-48.91204833984375,19.6075439453125,
1470430111439678916,1749368951,,,0.053924560546875,9.917434692382813,0.4339141845703125,0.0294647216796875,-0.004058837890625,-0.027618408203125,-12.30926513671875,-48.91204833984375,19.6075439453125,
1470430111444714317,1749368951,,,0.052215576171875,9.944839477539063,0.4168243408203125,0.04022216796875,-0.0028228759765625,-0.025299072265625,-12.30926513671875,-48.91204833984375,19.6075439453125,
1470430111449749717,1749368951,,,0.0470733642578125,9.97906494140625,0.3843841552734375,0.0482177734375,-0.002655029296875,-0.0231475830078125,-12.2039794921875,-48.834228515625,19.57244873046875,
