Time, x, y, z,,,
30.57431581,0.306,1.992,10.726,,,
30.6039057,0.306,1.992,10.726,,,
30.63457777,0.306,1.992,10.726,,,
30.66776587,0.306,1.992,10.726,,,
30.71735169,0.306,1.992,10.726,,,
30.76242282,0.306,1.992,10.726,,,
30.79345872,0.306,1.992,10.726,,,
30.82487084,0.306,0.612,9.807,,,
30.8602617,0.306,0.612,9.807,,,
30.89264585,0.306,0.612,9.807,,,
31.09829571,0.306,0.612,9.807,,,
31.14997389,0.306,0.612,9.807,,,
31.17551186,0.306,0.612,9.807,,,
31.20556476,0.306,0.612,9.807,,,
31.23768093,0.306,0.612,9.807,,,
31.27068378,0.306,0.612,9.807,,,
31.30397989,0.306,0.612,9.807,,,
31.3361459,0.612,0.919,8.274,,,
31.3637469,0.612,0.919,8.274,,,
31.37713077,0.612,0.919,8.274,,,
31.40915682,0.612,0.919,8.274,,,
31.4430907,0.612,0.919,8.274,,,
31.46632077,0.612,0.919,8.274,,,
31.50064375,0.612,0.919,8.274,,,
31.52562978,0.612,0.919,8.274,,,
31.55004384,0.612,0.919,8.274,,,
31.58390572,0.612,0.919,8.274,,,
31.7887428,0.612,0.919,8.274,,,
31.80171873,-0.459,0.459,7.968,,,
31.82306888,-0.459,0.459,7.968,,,
31.84730985,-0.459,0.459,7.968,,,
31.8724797,-0.459,0.459,7.968,,,
31.89897587,-0.459,0.459,7.968,,,
31.93366577,-0.459,0.459,7.968,,,
31.95744779,-0.459,0.459,7.968,,,
31.98729684,-0.459,0.459,7.968,,,
32.02042582,-0.459,0.459,7.968,,,
32.05059793,-0.459,0.459,7.968,,,
32.07895376,-0.459,0.459,7.968,,,
32.11098482,-0.459,0.459,7.968,,,
32.1411977,-0.459,0.459,7.968,,,
32.16436674,-0.459,0.459,7.968,,,
32.20020582,-0.459,0.459,7.968,,,
32.22371985,-0.459,0.459,7.968,,,
32.25082781,-0.459,0.459,7.968,,,
32.51460793,-0.459,0.459,7.968,,,
32.52429678,0.306,0,9.807,,,
32.54158189,0.306,0,9.807,,,
32.57203271,0.306,0,9.807,,,
32.60863282,0.306,0,9.807,,,
32.62958076,0.306,0,9.807,,,
32.6534939,0.306,0,9.807,,,
