Time, x, y, z,,,,
94.88132637,5.7425995,-4.743164,-1.5687256,,,,
94.90191143,4.807892,-3.778473,-2.6616669,,,,
94.90837543,4.0732727,-3.1962738,-3.2512207,,,,
94.91519444,4.0702057,-3.1015625,-3.4651184,,,,
95.14002531,4.1373444,-3.061432,-3.6292877,,,,
95.17421835,11.412872,-4.4046173,-5.0748596,,,,
95.18750637,11.185806,-4.5051575,-5.5010986,,,,
95.19816034,11.018753,-5.1583557,-5.518936,,,,
95.20857327,10.973846,-7.442093,-4.186981,,,,
95.21905535,11.125061,-8.3185425,-3.7508698,,,,
95.22944444,11.011276,-9.053329,-2.7647705,,,,
95.2420904,8.080353,-7.4127502,-1.0396271,,,,
95.2491793,7.264923,-7.0234528,-0.6817627,,,,
95.25586932,5.8256683,-6.4518433,-0.106552124,,,,
95.26185029,5.168762,-6.286438,0.19070435,,,,
95.26937526,4.684845,-6.1806335,0.4370575,,,,
95.27661746,4.2010956,-6.163574,0.6834259,,,,
95.28466242,4.176407,-6.3548584,0.7449341,,,,
95.29142731,4.3543243,-7.0800934,0.8429718,,,,
95.29701632,4.634262,-7.6193085,0.8118286,,,,
95.30399626,4.999756,-8.294342,0.70500183,,,,
95.31061428,5.6200104,-9.82579,0.51039124,,,,
95.3162114,6.0179596,-10.661209,0.40589905,,,,
95.32475441,6.7612762,-12.003769,0.50019836,,,,
95.33124941,7.0709534,-12.37175,0.64541626,,,,
95.33794039,7.2846985,-12.388519,0.7998657,,,,
95.34400743,7.3147736,-12.253067,0.9240875,,,,
95.3501684,6.9086914,-11.402771,0.2888794,,,,
95.35727137,6.800354,-10.681046,-0.41638184,,,,
95.36325043,6.840454,-9.850647,-1.2614441,,,,
95.36950725,6.7843018,-9.02771,-2.1616058,,,,
95.37557238,6.092682,-7.2529755,-3.7499542,,,,
95.38268846,5.785553,-6.3307495,-4.2776794,,,,
95.38874333,5.4908905,-5.53096,-4.496994,,,,
95.39476746,5.0943604,-4.8500366,-4.6003723,,,,
95.40082138,4.984497,-3.9226532,-4.617584,,,,
95.40721529,4.984497,-3.9226532,-4.617584,,,,
95.41485947,5.254944,-2.9771576,-4.4972534,,,,
95.42203944,5.266632,-2.5830994,-3.748932,,,,
95.42942946,5.3059998,-2.3962708,-2.9970703,,,,
95.43681925,5.713852,-2.4067535,-1.9798737,,,,
95.44446342,6.232773,-2.4300995,-1.9207611,,,,
95.45237725,6.627472,-2.3698273,-2.360321,,,,
95.46013945,6.719513,-2.3386536,-2.6887512,,,,
95.46826547,6.762619,-2.202301,-3.4736328,,,,
95.4756934,6.7041016,-2.0572662,-3.813385,,,,
95.48238032,6.197525,-1.7223053,-4.0161133,,,,
95.48866742,5.914871,-1.673645,-3.9663544,,,,
95.49510639,5.661316,-1.739502,-3.9466095,,,,
95.51097625,5.3919067,-2.4405823,-4.0801086,,,,
95.53336638,4.291641,-5.030594,-3.3742218,,,,
95.55246346,4.1220703,-5.9654083,-3.2533112,,,,
95.56286328,3.9277802,-6.5093536,-2.947998,,,,
95.57252639,4.029068,-6.47966,-3.1193695,,,,
95.58231037,4.190918,-6.0510254,-3.8654785,,,,
95.59257238,4.655365,-5.614868,-4.584671,,,,
95.60995238,5.0281982,-5.2951508,-5.1763153,,,,
95.6176893,5.677185,-5.023651,-5.792984,,,,
95.62591832,6.210327,-5.072159,-6.1849823,,,,
95.63380235,6.544098,-5.208954,-6.415634,,,,
95.64234941,6.777313,-5.3822937,-6.4391174,,,,
95.79872112,8.655426,-9.567261,-4.5452576,,,,
95.82193713,5.1447144,-6.4931793,-0.26509094,,,,
