Time, x, y, z,,,,,,,,,,,,,,,,,,
10.95963907,5.363,6.435,5.056,,,,,,,,,,,,,,,,,,
10.97493792,5.822,6.742,4.137,,,,,,,,,,,,,,,,,,
10.99157095,6.282,6.435,5.822,,,,,,,,,,,,,,,,,,
11.67924595,7.202,5.363,6.895,,,,,,,,,,,,,,,,,,
11.69579887,7.202,0.919,7.661,,,,,,,,,,,,,,,,,,
11.71008396,7.661,1.225,6.282,,,,,,,,,,,,,,,,,,
11.72242403,6.282,1.379,7.508,,,,,,,,,,,,,,,,,,
11.73523498,6.435,1.992,9.194,,,,,,,,,,,,,,,,,,
11.74622393,5.669,1.992,10.266,,,,,,,,,,,,,,,,,,
11.75754905,5.822,1.838,11.032,,,,,,,,,,,,,,,,,,
11.76928592,4.903,2.604,8.581,,,,,,,,,,,,,,,,,,
11.7810719,4.75,2.451,9.194,,,,,,,,,,,,,,,,,,
11.79593897,4.75,2.451,9.194,,,,,,,,,,,,,,,,,,
11.80823302,4.75,1.379,13.484,,,,,,,,,,,,,,,,,,
11.82054091,4.75,1.225,13.637,,,,,,,,,,,,,,,,,,
11.83256102,4.75,1.685,10.419,,,,,,,,,,,,,,,,,,
11.8441031,5.516,3.371,8.581,,,,,,,,,,,,,,,,,,
11.85570097,5.516,3.371,8.581,,,,,,,,,,,,,,,,,,
11.86802006,6.895,3.064,7.814,,,,,,,,,,,,,,,,,,
11.8802259,6.742,2.911,8.427,,,,,,,,,,,,,,,,,,
11.89440989,5.822,0.612,12.871,,,,,,,,,,,,,,,,,,
11.90615797,5.822,0.612,12.871,,,,,,,,,,,,,,,,,,
11.91939998,4.137,-0.306,15.17,,,,,,,,,,,,,,,,,,
11.93169999,3.371,0.459,11.799,,,,,,,,,,,,,,,,,,
11.95296502,4.597,1.379,8.887,,,,,,,,,,,,,,,,,,
11.97368097,5.516,1.992,5.363,,,,,,,,,,,,,,,,,,
11.99658799,4.29,1.838,8.121,,,,,,,,,,,,,,,,,,
12.015903,3.371,2.604,6.589,,,,,,,,,,,,,,,,,,
12.02963591,2.604,2.604,8.427,,,,,,,,,,,,,,,,,,
12.04174805,2.911,2.451,8.887,,,,,,,,,,,,,,,,,,
12.05354404,2.911,2.451,8.887,,,,,,,,,,,,,,,,,,
12.06572199,3.371,2.145,7.202,,,,,,,,,,,,,,,,,,
12.07857299,3.677,1.685,6.742,,,,,,,,,,,,,,,,,,
12.09046602,4.597,2.758,7.355,,,,,,,,,,,,,,,,,,
12.11916304,4.137,2.758,6.589,,,,,,,,,,,,,,,,,,
12.14913106,4.903,1.072,10.266,,,,,,,,,,,,,,,,,,
12.16443205,5.209,0.306,8.581,,,,,,,,,,,,,,,,,,
13.09312487,4.597,0.766,7.968,,,,,,,,,,,,,,,,,,
13.13348508,-0.306,6.742,7.048,,,,,,,,,,,,,,,,,,
13.59853506,0,5.363,9.5,,,,,,,,,,,,,,,,,,
13.61240196,1.532,7.508,4.903,,,,,,,,,,,,,,,,,,
13.63105488,1.379,7.202,5.976,,,,,,,,,,,,,,,,,,
13.65086889,1.532,7.202,5.976,,,,,,,,,,,,,,,,,,
13.66539288,1.072,7.508,6.282,,,,,,,,,,,,,,,,,,
13.67976189,1.532,7.968,5.822,,,,,,,,,,,,,,,,,,
13.69080687,1.225,7.661,7.661,,,,,,,,,,,,,,,,,,
13.70307493,1.072,7.048,7.508,,,,,,,,,,,,,,,,,,
13.71525002,1.072,7.508,6.895,,,,,,,,,,,,,,,,,,
13.74441099,1.072,7.661,7.355,,,,,,,,,,,,,,,,,,
13.75744605,0.306,8.274,7.661,,,,,,,,,,,,,,,,,,
13.77321887,-0.153,8.121,8.274,,,,,,,,,,,,,,,,,,
13.78529,-0.153,8.121,8.274,,,,,,,,,,,,,,,,,,
13.79967594,-1.072,7.202,9.04,,,,,,,,,,,,,,,,,,
13.81162,-1.072,7.202,9.04,,,,,,,,,,,,,,,,,,
13.82665706,-0.766,6.282,8.427,,,,,,,,,,,,,,,,,,
13.83949494,0.153,6.435,6.589,,,,,,,,,,,,,,,,,,
13.88960791,0.153,6.435,6.589,,,,,,,,,,,,,,,,,,
13.92197394,0.612,7.508,8.274,,,,,,,,,,,,,,,,,,
14.23279595,-0.459,7.968,6.895,,,,,,,,,,,,,,,,,,
14.25112605,0.153,7.355,8.274,,,,,,,,,,,,,,,,,,
14.28582907,-0.153,7.508,6.589,,,,,,,,,,,,,,,,,,
14.3931489,0.153,7.968,7.048,,,,,,,,,,,,,,,,,,
14.44386411,-0.306,7.508,7.661,,,,,,,,,,,,,,,,,,
14.51060606,-0.306,8.121,8.734,,,,,,,,,,,,,,,,,,
14.53448511,0.306,8.427,7.508,,,,,,,,,,,,,,,,,,
14.57036496,0.306,8.581,7.355,,,,,,,,,,,,,,,,,,
14.58143497,0.459,8.734,6.742,,,,,,,,,,,,,,,,,,
14.59211303,0.459,8.581,5.363,,,,,,,,,,,,,,,,,,
14.60635615,-0.459,9.5,3.83,,,,,,,,,,,,,,,,,,
14.61879302,-0.612,9.807,3.064,,,,,,,,,,,,,,,,,,
14.64307835,-2.451,8.887,2.758,,,,,,,,,,,,,,,,,,
15.35015323,0,8.274,0.919,,,,,,,,,,,,,,,,,,
15.37541534,-0.459,9.04,4.75,,,,,,,,,,,,,,,,,,
15.59559824,-0.306,9.04,4.75,,,,,,,,,,,,,,,,,,
16.02659513,-1.225,10.113,2.298,,,,,,,,,,,,,,,,,,
16.06532909,-1.225,10.113,2.298,,,,,,,,,,,,,,,,,,
16.83033826,-1.225,10.113,2.298,,,,,,,,,,,,,,,,,,
16.86341812,-1.379,9.347,2.911,,,,,,,,,,,,,,,,,,
16.88441827,-1.225,9.5,1.685,,,,,,,,,,,,,,,,,,
16.89635827,-1.379,10.266,2.758,,,,,,,,,,,,,,,,,,
16.90808513,-1.072,9.653,2.911,,,,,,,,,,,,,,,,,,
16.91913726,-1.072,9.5,3.83,,,,,,,,,,,,,,,,,,
16.93324306,-1.072,9.5,3.83,,,,,,,,,,,,,,,,,,
16.94453122,-1.072,9.807,2.911,,,,,,,,,,,,,,,,,,
16.9563811,-1.072,9.807,2.911,,,,,,,,,,,,,,,,,,
16.96768119,-1.379,9.347,2.758,,,,,,,,,,,,,,,,,,
16.98096325,-1.379,9.194,2.451,,,,,,,,,,,,,,,,,,
